Make,Year of manufacture,Condition,Mileage,Engine Size,Fuel,Transmission,Price,Price Category
Lexus,2010.0,Foreign Used,165472.0,3500.0,Petrol,Automatic,7350000,1
Ford,2010.0,Nigerian Used,156649.0,4000.0,Petrol,Automatic,3675000,0
Ford,,,43186.0,,,Automatic,5162000,1
Mercedes-Benz,2008.0,Nigerian Used,231782.0,3.0,Petrol,Automatic,3432000,0
Infiniti,2015.0,Foreign Used,135688.0,35000.0,Petrol,Automatic,14700000,1
Toyota,2004.0,Foreign Used,323594.0,3300.0,Petrol,Automatic,3640000,0
Mercedes-Benz,2012.0,Nigerian Used,101947.0,3000.0,Petrol,Automatic,3675000,0
Ford,2012.0,Nigerian Used,108728.0,3500.0,Petrol,Automatic,3640000,0
Infiniti,2011.0,Nigerian Used,80020.0,5600.0,Petrol,Automatic,8400000,1
Ford,2010.0,Foreign Used,315836.0,3500.0,Petrol,Automatic,3675000,0
Toyota,,,153048.0,,,Automatic,8746000,1
Mini,2016.0,Foreign Used,86735.0,1500.0,Petrol,Automatic,6300000,1
Toyota,2005.0,Foreign Used,284638.0,3300.0,Petrol,Automatic,3536000,0
Toyota,2012.0,Nigerian Used,95425.0,2400.0,Petrol,Automatic,3675000,0
Lexus,2010.0,Nigerian Used,78708.0,3500.0,Petrol,Automatic,5310000,1
Infiniti,2008.0,Nigerian Used,109552.0,5600.0,Petrol,Automatic,3675000,0
Toyota,2011.0,Foreign Used,87282.0,,,Automatic,4200000,0
Toyota,2012.0,Nigerian Used,61910.0,2000.0,Petrol,Automatic,3937500,0
Land Rover,,,192232.0,,,Automatic,3370000,0
Toyota,2011.0,Nigerian Used,280121.0,2500.0,Petrol,Automatic,3640000,0
Mercedes-Benz,2007.0,Nigerian Used,245380.0,30.0,Diesel,Automatic,7350000,1
Infiniti,2008.0,Nigerian Used,250706.0,5600.0,Petrol,Automatic,3675000,0
Peugeot,2005.0,Nigerian Used,411415.0,2000.0,Petrol,Automatic,2475000,0
Toyota,2015.0,Nigerian Used,110471.0,2700.0,Petrol,Manual,10500000,1
Lexus,2008.0,Foreign Used,184977.0,3500.0,Petrol,Automatic,4992000,0
Lexus,2007.0,Nigerian Used,284317.0,2500.0,Petrol,Automatic,3016000,0
Toyota,2009.0,Nigerian Used,94618.0,3500.0,Petrol,Automatic,4725000,0
Toyota,2004.0,Foreign Used,204135.0,2400.0,Petrol,Automatic,3120000,0
Mercedes-Benz,2015.0,Foreign Used,113110.0,2000.0,Petrol,Automatic,14560000,1
Ford,2010.0,Nigerian Used,156649.0,4000.0,Petrol,Automatic,3675000,0
Mercedes-Benz,2006.0,Nigerian Used,72991.0,3500.0,Petrol,Automatic,3360000,0
Dodge,2011.0,Nigerian Used,260172.0,3600.0,Petrol,Automatic,3045000,0
Dodge,2006.0,Nigerian Used,163172.0,42000.0,Petrol,Automatic,3150000,0
Infiniti,2014.0,Nigerian Used,60219.0,3500.0,Petrol,Automatic,9450000,1
Lexus,2008.0,Nigerian Used,257449.0,3500.0,Petrol,Automatic,3570000,0
Mercedes-Benz,,,41175.0,,,Automatic,14010000,1
Mercedes-Benz,2012.0,Foreign Used,228207.0,3500.0,Petrol,Automatic,7350000,1
Dodge,2011.0,Foreign Used,163756.0,2400.0,Petrol,Automatic,3885000,0
Toyota,2003.0,Foreign Used,178126.0,2700.0,Petrol,Manual,17850000,1
Jaguar,2008.0,Foreign Used,149544.0,4200.0,Petrol,Automatic,8400000,1
Toyota,2013.0,Foreign Used,221667.0,3500.0,Petrol,Automatic,8840000,1
Toyota,2007.0,Nigerian Used,106027.0,24.0,Petrol,Automatic,3432000,0
Lexus,2008.0,Nigerian Used,186456.0,35.0,Petrol,Automatic,3570000,0
Seat,2012.0,Nigerian Used,274049.0,1200.0,Diesel,Manual,2520000,0
Infiniti,2010.0,Nigerian Used,48902.0,5600.0,Petrol,Automatic,4200000,0
Mercedes-Benz,,,157093.0,,,Automatic,4745000,0
Ford,2013.0,Foreign Used,115361.0,30.0,Petrol,Automatic,5250000,1
Toyota,2007.0,Foreign Used,96952.0,3500.0,Petrol,Automatic,3848000,0
Toyota,2010.0,Foreign Used,85583.0,2500.0,Petrol,Automatic,3675000,0
Land Rover,2004.0,Nigerian Used,,4400.0,Petrol,Automatic,2100000,0
Toyota,2013.0,Foreign Used,221667.0,3500.0,Petrol,Automatic,8840000,1
Lexus,2010.0,Nigerian Used,78708.0,3500.0,Petrol,Automatic,5310000,1
Land Rover,,,192232.0,,,Automatic,3370000,0
Toyota,2008.0,Foreign Used,128369.0,3500.0,Petrol,Automatic,3640000,0
Toyota,2011.0,Nigerian Used,364344.0,2500.0,Petrol,Automatic,3560000,0
Lexus,2008.0,Nigerian Used,230751.0,3500.0,Petrol,Automatic,4472000,0
Jeep,2008.0,Nigerian Used,228941.0,3000.0,Petrol,Automatic,1680000,0
Toyota,2006.0,Nigerian Used,253577.0,3300.0,Petrol,Automatic,3328000,0
Infiniti,,,115506.0,,,Automatic,3370000,0
Toyota,2006.0,Nigerian Used,97296.0,3500.0,Petrol,Automatic,1995000,0
Toyota,2011.0,Nigerian Used,123088.0,2500.0,Petrol,Automatic,3224000,0
Dodge,2011.0,Foreign Used,163756.0,2400.0,Petrol,Automatic,3885000,0
Isuzu,,,73844.0,,,Manual,2048400,0
Lexus,2008.0,Foreign Used,155665.0,3500.0,Petrol,Automatic,3570000,0
Toyota,2012.0,Nigerian Used,119606.0,2000.0,Petrol,Automatic,3150000,0
Mercedes-Benz,2012.0,Nigerian Used,101947.0,3000.0,Petrol,Automatic,3675000,0
Dodge,2011.0,Foreign Used,163756.0,2400.0,Petrol,Automatic,3885000,0
Toyota,2010.0,Foreign Used,85583.0,2500.0,Petrol,Automatic,3675000,0
Porsche,,,,,,Automatic,2810000,0
Lexus,2007.0,Nigerian Used,203830.0,3500.0,Petrol,Automatic,4576000,0
Toyota,2010.0,Foreign Used,108433.0,,Petrol,Automatic,5720000,1
Ford,2016.0,Foreign Used,90908.0,35000.0,Petrol,Automatic,12600000,1
Mercedes-Benz,,,112170.0,,,Automatic,6730000,1
Toyota,2011.0,Nigerian Used,61436.0,2000.0,Petrol,Automatic,5625000,1
Dodge,2014.0,Nigerian Used,69000.0,3600.0,Petrol,Automatic,10500000,1
Lexus,2008.0,Foreign Used,184977.0,3500.0,Petrol,Automatic,4992000,0
Ford,2012.0,Nigerian Used,160553.0,3500.0,Petrol,Automatic,4160000,0
Ford,2008.0,Nigerian Used,218896.0,3500.0,Petrol,Automatic,2100000,0
Mercedes-Benz,2009.0,Nigerian Used,350929.0,3500.0,Petrol,Automatic,3150000,0
Mercedes-Benz,,,112170.0,,,Automatic,6730000,1
Porsche,,,,,,Automatic,2810000,0
Toyota,2005.0,Nigerian Used,359333.0,1800.0,Petrol,Automatic,2193750,0
Ford,,,171010.0,,,Automatic,2045000,0
Mercedes-Benz,2006.0,Nigerian Used,,3500.0,Petrol,Automatic,3255000,0
Jaguar,2011.0,Foreign Used,177218.0,4000.0,Petrol,Automatic,9450000,1
Toyota,2011.0,Foreign Used,12683.0,2700.0,Petrol,Automatic,14175000,1
Isuzu,,,73844.0,,,Manual,2048400,0
Acura,2009.0,Nigerian Used,182036.0,3500.0,Petrol,Automatic,3120000,0
Toyota,2010.0,Nigerian Used,99830.0,3300.0,Petrol,Automatic,3120000,0
Lexus,2007.0,Nigerian Used,123673.0,3500.0,Petrol,Automatic,3952000,0
Toyota,2009.0,Foreign Used,459418.0,3500.0,Petrol,Automatic,4160000,0
Land Rover,2004.0,Nigerian Used,,4400.0,Petrol,Automatic,2100000,0
Ford,2005.0,Nigerian Used,301242.0,5400.0,Petrol,Automatic,2912000,0
Toyota,2011.0,Foreign Used,177590.0,3500.0,Petrol,Automatic,5880000,1
Mercedes-Benz,2016.0,Foreign Used,52855.0,2000.0,Petrol,Automatic,15600000,1
Ford,2009.0,Foreign Used,114203.0,3500.0,Petrol,Automatic,2835000,0
Lexus,2008.0,Nigerian Used,230751.0,3500.0,Petrol,Automatic,4472000,0
Ford,2016.0,Foreign Used,90908.0,35000.0,Petrol,Automatic,12600000,1
Toyota,2007.0,Foreign Used,237858.0,3500.0,Petrol,Automatic,3640000,0
Ford,,,180814.0,,,Automatic,4266000,0
Skoda,2012.0,Nigerian Used,41077.0,1600.0,Petrol,Automatic,3150000,0
Lexus,2007.0,Nigerian Used,203830.0,3500.0,Petrol,Automatic,4576000,0
Toyota,2008.0,Nigerian Used,251684.0,3500.0,Petrol,Automatic,3885000,0
Mercedes-Benz,2013.0,Nigerian Used,115724.0,3500.0,Petrol,Automatic,5736000,1
Ford,2007.0,Foreign Used,,3000.0,Petrol,Automatic,2625000,0
Ford,2008.0,Nigerian Used,218896.0,3500.0,Petrol,Automatic,2100000,0
Peugeot,2003.0,Nigerian Used,3963.0,1600.0,Petrol,Automatic,1462500,0
Mercedes-Benz,2013.0,Nigerian Used,125394.0,4700.0,Petrol,Automatic,12375000,1
Ford,2002.0,Nigerian Used,247814.0,4000.0,Petrol,Automatic,2100000,0
Lexus,2011.0,Nigerian Used,181282.0,3500.0,Petrol,Automatic,7280000,1
Ford,2016.0,Nigerian Used,115658.0,3500.0,Petrol,Automatic,10500000,1
Toyota,,,154309.0,,,Automatic,5050000,1
Toyota,2007.0,Foreign Used,197253.0,3300.0,Petrol,Automatic,3990000,0
Toyota,2009.0,Foreign Used,459418.0,3500.0,Petrol,Automatic,4160000,0
Toyota,2009.0,Nigerian Used,94618.0,3500.0,Petrol,Automatic,4725000,0
Mercedes-Benz,,,60180.0,,,Automatic,7850000,1
Ford,,,180814.0,,,Automatic,4266000,0
Land Rover,,,29555.0,,,Automatic,17930000,1
Toyota,2002.0,Nigerian Used,187433.0,3000.0,Petrol,Automatic,2100000,0
Dodge,2013.0,Foreign Used,184192.0,5700.0,Petrol,Automatic,11550000,1
Toyota,2008.0,Foreign Used,201641.0,2400.0,Petrol,Automatic,3045000,0
Land Rover,2007.0,Nigerian Used,131041.0,4400.0,Petrol,Automatic,2625000,0
Ford,2009.0,Foreign Used,114203.0,3500.0,Petrol,Automatic,2835000,0
Mercedes-Benz,2006.0,Nigerian Used,2418.0,5000.0,Petrol,Automatic,4935000,0
Toyota,2006.0,Foreign Used,82216.0,3000.0,Petrol,Automatic,3224000,0
Mercedes-Benz,,,57309.0,,,Automatic,6730000,1
Land Rover,2007.0,Nigerian Used,131041.0,4400.0,Petrol,Automatic,2625000,0
Ford,2004.0,Foreign Used,398223.0,4000.0,Petrol,Automatic,2940000,0
Lexus,2011.0,Nigerian Used,181282.0,3500.0,Petrol,Automatic,7280000,1
Lexus,2010.0,Nigerian Used,93872.0,3500.0,Petrol,Automatic,6775000,1
Mercedes-Benz,,,82420.0,,,Automatic,17930000,1
Mercedes-Benz,,,145284.0,,,Automatic,6730000,1
Land Rover,,,139707.0,,,Automatic,2586000,0
Lexus,2008.0,Nigerian Used,100098.0,3500.0,Petrol,Automatic,3675000,0
Mercedes-Benz,,,62217.0,,,Automatic,24650000,1
Ford,,,205321.0,,,Automatic,3282500,0
Toyota,2008.0,Foreign Used,201641.0,2400.0,Petrol,Automatic,3045000,0
Lexus,,,97925.0,,,Automatic,2922000,0
Lexus,2008.0,Nigerian Used,310333.0,3500.0,Petrol,Automatic,3432000,0
Lexus,,,41774.0,,,Automatic,13450000,1
Lexus,,,126224.0,,,Automatic,2362000,0
Dodge,2013.0,Foreign Used,184192.0,5700.0,Petrol,Automatic,11550000,1
Toyota,,,170154.0,,,Automatic,6730000,1
Toyota,2019.0,Foreign Used,5359.0,1800.0,Petrol,Automatic,9975000,1
Lexus,2010.0,Foreign Used,165472.0,3500.0,Petrol,Automatic,7350000,1
Jaguar,2005.0,Nigerian Used,99187.0,2700.0,Diesel,Automatic,3675000,0
Dodge,2005.0,Foreign Used,157972.0,3300.0,Petrol,Automatic,2625000,0
Dodge,2010.0,Foreign Used,349934.0,3300.0,Petrol,Automatic,3360000,0
Lexus,2008.0,Nigerian Used,9976050.0,3500.0,Petrol,Automatic,3255000,0
Toyota,2012.0,Nigerian Used,323406.0,2500.0,Petrol,Automatic,3990000,0
Toyota,2014.0,Nigerian Used,30778.0,2400.0,Petrol,Automatic,4200000,0
Nissan,2007.0,Nigerian Used,173224.0,3500.0,Petrol,Automatic,1518750,0
Mercedes-Benz,,,60180.0,,,Automatic,7850000,1
Mercedes-Benz,2006.0,Nigerian Used,2418.0,5000.0,Petrol,Automatic,4935000,0
Toyota,2019.0,Foreign Used,5359.0,1800.0,Petrol,Automatic,9975000,1
Mercedes-Benz,,,57309.0,,,Automatic,6730000,1
Mercedes-Benz,2012.0,Nigerian Used,50149.0,3500.0,Petrol,Automatic,7800000,1
Ford,2004.0,Foreign Used,398223.0,4000.0,Petrol,Automatic,2940000,0
Peugeot,2003.0,Nigerian Used,3963.0,1600.0,Petrol,Automatic,1462500,0
Mercedes-Benz,2013.0,Nigerian Used,125394.0,4700.0,Petrol,Automatic,12375000,1
Toyota,2009.0,Nigerian Used,172537.0,3500.0,Petrol,Automatic,4725000,0
Mercedes-Benz,2010.0,Nigerian Used,34365.0,3500.0,Petrol,Automatic,7280000,1
Mercedes-Benz,,,65126.0,,,Automatic,4490000,0
Ford,2007.0,Nigerian Used,115975.0,3500.0,Petrol,Automatic,2200000,0
Jaguar,,,,,,,4500000,0
Porsche,2017.0,Nigerian Used,68343.0,3600.0,Petrol,Automatic,18900000,1
Toyota,2004.0,Nigerian Used,158023.0,4700.0,Petrol,Automatic,1837500,0
Lexus,2015.0,Foreign Used,98733.0,2500.0,Petrol,Automatic,9450000,1
Lexus,2004.0,Nigerian Used,182267.0,4700.0,Petrol,Automatic,2625000,0
Lexus,2002.0,Brand New,111408.0,3000.0,Petrol,Automatic,2625000,0
Hyundai,2011.0,Foreign Used,139301.0,2400.0,Petrol,Automatic,4160000,0
Hyundai,2015.0,Nigerian Used,85847.0,1600.0,Petrol,Automatic,5040000,1
Toyota,2007.0,Nigerian Used,209228.0,2700.0,Petrol,Manual,4200000,0
Toyota,2002.0,Nigerian Used,187433.0,3000.0,Petrol,Automatic,2100000,0
Toyota,2009.0,Foreign Used,139042.0,2400.0,Petrol,Automatic,3640000,0
Toyota,2008.0,Nigerian Used,141473.0,2400.0,Petrol,Automatic,2925000,0
Mercedes-Benz,2008.0,Nigerian Used,263539.0,3000.0,Petrol,Automatic,3150000,0
Ford,2007.0,Foreign Used,467397.0,3500.0,Petrol,Automatic,2835000,0
Lexus,,,242032.0,,,Automatic,2922000,0
Toyota,2009.0,Nigerian Used,85296.0,3500.0,Petrol,Automatic,4830000,0
Toyota,2005.0,Nigerian Used,258088.0,3300.0,Petrol,Automatic,2288000,0
Mercedes-Benz,,,48780.0,,,Automatic,19050000,1
Toyota,2015.0,Nigerian Used,70075.0,3000.0,Petrol,Automatic,4725000,0
Toyota,2015.0,Foreign Used,71146.0,1800.0,Petrol,Automatic,6500000,1
Hyundai,2011.0,Foreign Used,262343.0,2400.0,Petrol,Automatic,3675000,0
Hyundai,2011.0,Foreign Used,177739.0,2400.0,Petrol,Automatic,4888000,0
Mercedes-Benz,2011.0,Foreign Used,,3000.0,Petrol,Automatic,5460000,1
Toyota,2009.0,Nigerian Used,169241.0,2400.0,Petrol,Automatic,3016000,0
Lexus,2006.0,Foreign Used,201926.0,3000.0,Petrol,Automatic,4160000,0
Mercedes-Benz,2012.0,Nigerian Used,95610.0,4700.0,Petrol,Automatic,4350000,0
Toyota,2015.0,Foreign Used,62298.0,1800.0,Petrol,Automatic,6032000,1
Lexus,2010.0,Nigerian Used,163603.0,3500.0,Petrol,Automatic,4688000,0
Hyundai,2013.0,Foreign Used,190676.0,2000.0,Petrol,Automatic,3517500,0
Lexus,2007.0,Nigerian Used,,3600.0,Petrol,Automatic,4992000,0
Toyota,2012.0,Nigerian Used,370677.0,2500.0,Petrol,Automatic,4387500,0
Hyundai,,,5843.0,,,Manual,7895000,1
Toyota,2013.0,Foreign Used,79207.0,2400.0,Petrol,Automatic,4960000,0
Ford,2012.0,Nigerian Used,88139.0,2000.0,Petrol,Automatic,3675000,0
Jaguar,,,,,,,4500000,0
Land Rover,2008.0,Nigerian Used,78565.0,4400.0,Petrol,Automatic,2415000,0
Toyota,2009.0,Foreign Used,167190.0,1800.0,Petrol,Automatic,4160000,0
Toyota,2016.0,Foreign Used,218050.0,1800.0,Petrol,Automatic,6760000,1
Lexus,2008.0,Foreign Used,155665.0,3500.0,Petrol,Automatic,3570000,0
Hyundai,2011.0,Foreign Used,189814.0,2000.0,Petrol,Automatic,3255000,0
Lexus,2004.0,Nigerian Used,220223.0,3300.0,Petrol,Automatic,2600000,0
Lexus,2005.0,Foreign Used,101051.0,3300.0,Petrol,Automatic,2520000,0
Ford,2003.0,Nigerian Used,426254.0,4000.0,Petrol,Automatic,2047500,0
Toyota,2008.0,Nigerian Used,307470.0,2400.0,Petrol,Automatic,2835000,0
Toyota,,,126364.0,,,Automatic,7850000,1
Lexus,2014.0,Foreign Used,187603.0,3300.0,Petrol,Automatic,9240000,1
Ford,2007.0,Nigerian Used,115975.0,3500.0,Petrol,Automatic,2200000,0
Jeep,,,190057.0,,,Automatic,3930000,0
Hyundai,2011.0,Foreign Used,115527.0,2400.0,Petrol,Automatic,3675000,0
Hyundai,2017.0,Nigerian Used,66012.0,1600.0,Petrol,Automatic,6825000,1
Mercedes-Benz,2013.0,Nigerian Used,239707.0,4500.0,Petrol,Automatic,18720000,1
Toyota,2009.0,Nigerian Used,172537.0,3500.0,Petrol,Automatic,4725000,0
Ford,2012.0,Nigerian Used,130722.0,3500.0,Petrol,CVT,2835000,0
Toyota,2010.0,Nigerian Used,108350.0,2400.0,Petrol,Automatic,3712500,0
Ford,,,49215.0,,,Automatic,3930000,0
Hyundai,,,200830.0,,,Manual,4000000,0
Lexus,2010.0,Foreign Used,279373.0,3500.0,Petrol,Automatic,9880000,1
Hyundai,2013.0,Foreign Used,139775.0,2000.0,Petrol,Automatic,8112000,1
Toyota,2019.0,Foreign Used,16170.0,1800.0,Hybrid,CVT,14175000,1
Mercedes-Benz,2007.0,Nigerian Used,210226.0,4500.0,Petrol,Automatic,4249440,0
Toyota,,,22914.0,,,Automatic,10202000,1
Mercedes-Benz,2010.0,Nigerian Used,,3500.0,Petrol,Automatic,6032000,1
Mercedes-Benz,2007.0,Foreign Used,192028.0,3500.0,Petrol,Automatic,6448000,1
Lexus,2004.0,Nigerian Used,179555.0,3400.0,Petrol,Automatic,3640000,0
Toyota,2011.0,Foreign Used,147685.0,1800.0,Petrol,Automatic,4472000,0
Hyundai,2012.0,Nigerian Used,259708.0,2000.0,Petrol,Automatic,3640000,0
Jeep,2011.0,Foreign Used,119865.0,3700.0,Petrol,Automatic,5775000,1
Porsche,,,148559.0,,,Automatic,2698000,0
Hyundai,2018.0,Foreign Used,159401.0,2400.0,Petrol,Automatic,13125000,1
Hyundai,2011.0,Foreign Used,229956.0,2400.0,Petrol,Automatic,3360000,0
Toyota,2004.0,Nigerian Used,158023.0,4700.0,Petrol,Automatic,1837500,0
Acura,2005.0,Foreign Used,288147.0,3500.0,Petrol,Automatic,2310000,0
Lexus,2004.0,Nigerian Used,78851.0,3600.0,Petrol,Automatic,3848000,0
Lexus,2002.0,Foreign Used,10540.0,35.0,Petrol,Automatic,2730000,0
Porsche,2017.0,Nigerian Used,68343.0,3600.0,Petrol,Automatic,18900000,1
Lexus,2003.0,Nigerian Used,299647.0,4700.0,Petrol,Automatic,3675000,0
Hyundai,2012.0,Foreign Used,129479.0,2000.0,Petrol,Automatic,4168000,0
Lexus,2010.0,Nigerian Used,108096.0,5700.0,Petrol,Automatic,15750000,1
Toyota,2011.0,Foreign Used,95491.0,1800.0,Petrol,Automatic,4680000,0
Toyota,2010.0,Foreign Used,185585.0,1800.0,Petrol,Automatic,3675000,0
Lexus,2004.0,Nigerian Used,78851.0,3600.0,Petrol,Automatic,3848000,0
Toyota,2006.0,Foreign Used,82216.0,3000.0,Petrol,Automatic,3224000,0
Hyundai,2011.0,Foreign Used,262343.0,2400.0,Petrol,Automatic,3675000,0
Toyota,,,126364.0,,,Automatic,7850000,1
Hyundai,2013.0,Foreign Used,139775.0,2000.0,Petrol,Automatic,8112000,1
Hyundai,2016.0,Foreign Used,194783.0,2400.0,Petrol,Automatic,5250000,1
Toyota,2008.0,Nigerian Used,56479.0,3500.0,Petrol,Automatic,5400000,1
Toyota,,,22914.0,,,Automatic,10202000,1
Toyota,2019.0,Foreign Used,16170.0,1800.0,Hybrid,CVT,14175000,1
Mercedes-Benz,,,84716.0,,,Automatic,5610000,1
Toyota,2006.0,Foreign Used,136201.0,2500.0,Petrol,Automatic,2625000,0
Lexus,2003.0,Nigerian Used,252622.0,3500.0,Petrol,Automatic,2600000,0
Pontiac,2007.0,Foreign Used,322537.0,3400.0,Petrol,Automatic,2205000,0
Ford,2008.0,Foreign Used,298967.0,5400.0,Petrol,Automatic,2625000,0
Toyota,2013.0,Foreign Used,79207.0,2400.0,Petrol,Automatic,4960000,0
Hyundai,,,116158.0,,,Automatic,4490000,0
Fiat,,,319568.0,,,Automatic,1620000,0
Lexus,2003.0,Nigerian Used,252622.0,3500.0,Petrol,Automatic,2600000,0
Toyota,2017.0,Foreign Used,101103.0,1800.0,Petrol,Automatic,7350000,1
Toyota,2006.0,Foreign Used,136201.0,2500.0,Petrol,Automatic,2625000,0
Toyota,2012.0,Foreign Used,78080.0,2800.0,Petrol,Automatic,4200000,0
Toyota,2006.0,Nigerian Used,206432.0,3300.0,Petrol,Automatic,2860000,0
Ford,2007.0,Nigerian Used,127500.0,4000.0,Petrol,Automatic,2205000,0
Toyota,2013.0,Foreign Used,74142.0,1800.0,Petrol,Automatic,4095000,0
Hyundai,2016.0,Foreign Used,194783.0,2400.0,Petrol,Automatic,5250000,1
Toyota,2003.0,Nigerian Used,199651.0,4000.0,Petrol,Automatic,2912000,0
Toyota,2010.0,Nigerian Used,87786.0,2400.0,Petrol,Automatic,3150000,0
Toyota,2004.0,Nigerian Used,345811.0,3300.0,Petrol,Automatic,2496000,0
Ford,2008.0,Foreign Used,298967.0,5400.0,Petrol,Automatic,2625000,0
Jeep,,,,,,Automatic,5610000,1
Toyota,2013.0,Foreign Used,74142.0,1800.0,Petrol,Automatic,4095000,0
Lexus,2007.0,Nigerian Used,,3500.0,Petrol,Automatic,3150000,0
Toyota,2012.0,Nigerian Used,370677.0,2500.0,Petrol,Automatic,4387500,0
Jeep,,,,,,Automatic,5610000,1
Toyota,2009.0,Foreign Used,207347.0,1800.0,Petrol,Automatic,3727500,0
Hummer,2005.0,Nigerian Used,139809.0,6000.0,Petrol,Automatic,6300000,1
Hyundai,2012.0,Nigerian Used,259708.0,2000.0,Petrol,Automatic,3640000,0
Lexus,2005.0,Nigerian Used,134607.0,4500.0,Petrol,Automatic,2625000,0
Toyota,2012.0,Foreign Used,78080.0,2800.0,Petrol,Automatic,4200000,0
Hyundai,2016.0,Nigerian Used,191019.0,2400.0,Petrol,Automatic,4725000,0
Mercedes-Benz,2010.0,Nigerian Used,,3500.0,Petrol,Automatic,6032000,1
Chevrolet,2000.0,Foreign Used,319491.0,2200.0,Petrol,Manual,3150000,0
Toyota,2007.0,Nigerian Used,102334.0,2400.0,Petrol,Automatic,2415000,0
MG,2003.0,Nigerian Used,105744.0,1800.0,Diesel,Automatic,1575000,0
Toyota,2009.0,Foreign Used,167190.0,1800.0,Petrol,Automatic,4160000,0
Toyota,2015.0,Foreign Used,236022.0,1800.0,Petrol,Automatic,6090000,1
Hyundai,2015.0,Foreign Used,172745.0,2400.0,Petrol,Automatic,5775000,1
Dodge,2012.0,Nigerian Used,190880.0,3500.0,Petrol,Automatic,4725000,0
Honda,2010.0,Nigerian Used,308710.0,1300.0,Petrol,Automatic,2940000,0
Toyota,2013.0,Foreign Used,88055.0,2500.0,Petrol,Automatic,5720000,1
Toyota,2007.0,Nigerian Used,81254.0,3500.0,Petrol,Automatic,2600000,0
Toyota,2005.0,Nigerian Used,98692.0,2400.0,Petrol,Automatic,2600000,0
Ford,2012.0,Nigerian Used,226281.0,3500.0,Petrol,Automatic,2520000,0
Toyota,2007.0,Nigerian Used,163559.0,3500.0,Petrol,Automatic,2520000,0
Acura,2008.0,Nigerian Used,158238.0,2300.0,Petrol,Automatic,3432000,0
Hyundai,2011.0,Foreign Used,138548.0,2400.0,Petrol,Automatic,3952000,0
Hyundai,2014.0,Foreign Used,112615.0,2400.0,Petrol,Automatic,6825000,1
Hyundai,2015.0,Nigerian Used,180020.0,2400.0,Petrol,Automatic,5250000,1
Toyota,2009.0,Nigerian Used,124173.0,2400.0,Petrol,Automatic,3328000,0
Hyundai,2018.0,Foreign Used,134257.0,1800.0,Petrol,Automatic,8400000,1
Toyota,2013.0,Nigerian Used,78485.0,3500.0,Petrol,Automatic,4680000,0
Lexus,2004.0,Nigerian Used,254872.0,3300.0,Petrol,Automatic,3150000,0
Ford,,,206590.0,,,Automatic,4154000,0
Land Rover,2014.0,Foreign Used,204656.0,3500.0,Petrol,Automatic,22050000,1
Toyota,2010.0,Foreign Used,93012.0,1800.0,Petrol,Automatic,4680000,0
Toyota,2009.0,Foreign Used,306514.0,1800.0,Petrol,Automatic,3570000,0
Hyundai,2016.0,Nigerian Used,77842.0,2400.0,Petrol,Automatic,6032000,1
Hyundai,2016.0,Nigerian Used,191019.0,2400.0,Petrol,Automatic,4725000,0
Toyota,2012.0,Nigerian Used,82882.0,2500.0,Petrol,Automatic,3570000,0
Hyundai,2015.0,Nigerian Used,71181.0,1600.0,Petrol,Automatic,8400000,1
Toyota,2007.0,Nigerian Used,290721.0,3500.0,Petrol,Automatic,2782500,0
Hyundai,2012.0,Foreign Used,132315.0,2400.0,Petrol,Automatic,3990000,0
Lexus,2004.0,Foreign Used,144353.0,3300.0,Petrol,Automatic,2940000,0
Dodge,2008.0,Nigerian Used,2870739.0,3500.0,Petrol,Automatic,2100000,0
Toyota,2011.0,Foreign Used,199390.0,1800.0,Petrol,Automatic,4368000,0
Hyundai,2015.0,Nigerian Used,180020.0,2400.0,Petrol,Automatic,5250000,1
Toyota,2005.0,Nigerian Used,98692.0,2400.0,Petrol,Automatic,2600000,0
Infiniti,2004.0,Nigerian Used,101828.0,4500.0,Petrol,Automatic,2625000,0
Toyota,2004.0,Nigerian Used,184240.0,3300.0,Petrol,Automatic,1890000,0
Hyundai,2015.0,Nigerian Used,86960.0,3300.0,Petrol,Automatic,6615000,1
Ford,2010.0,Nigerian Used,280188.0,3000.0,Petrol,Automatic,2625000,0
Renault,,,82123.0,,,Automatic,1690000,0
Toyota,2007.0,Nigerian Used,219127.0,2400.0,Petrol,Automatic,2600000,0
Hyundai,2015.0,Foreign Used,122448.0,2400.0,Petrol,AMT,9450000,1
Toyota,2011.0,Nigerian Used,163716.0,2400.0,Petrol,Automatic,2730000,0
Toyota,2007.0,Nigerian Used,188877.0,2400.0,Petrol,Automatic,2600000,0
Toyota,2013.0,Foreign Used,88055.0,2500.0,Petrol,Automatic,5720000,1
Toyota,2009.0,Foreign Used,92602.0,1800.0,Petrol,Automatic,3570000,0
Lexus,2005.0,Nigerian Used,76060.0,3300.0,Petrol,Automatic,2600000,0
Ford,2010.0,Foreign Used,463172.0,3000.0,Petrol,Automatic,2835000,0
Lexus,,,184611.0,,,Automatic,2922000,0
Toyota,2009.0,Nigerian Used,169361.0,3600.0,Petrol,Automatic,2808000,0
Ford,2009.0,Nigerian Used,11096.0,3500.0,Petrol,Automatic,2100000,0
Toyota,2012.0,Nigerian Used,143200.0,2500.0,Petrol,Automatic,3990000,0
Toyota,2011.0,Foreign Used,199390.0,1800.0,Petrol,Automatic,4368000,0
Lexus,2008.0,Nigerian Used,100098.0,3500.0,Petrol,Automatic,3675000,0
